Date/Time (LST),Month,Day,Time (LST),Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Hmdx,Wind Chill,Weather,Meter Reading (KWHr)
05-01-2023 03:00,1,5,03:00,-2,-2.7,95,7,17,3.2,99.73,,-7,"Freezing Rain,Fog",6.7
05-01-2023 04:00,1,5,04:00,-2.6,-3.2,95,6,20,4.8,99.73,,-9,"Freezing Drizzle,Fog",6.729
05-01-2023 05:00,1,5,05:00,-3,-3.6,96,8,14,8.1,99.82,,-8,"Freezing Drizzle,Fog",6.505
05-01-2023 06:00,1,5,06:00,-3,-3.5,97,5,9,2.8,99.87,,-7,"Freezing Drizzle,Fog",6.867
05-01-2023 07:00,1,5,07:00,-3.2,-3.6,97,4,9,4.8,99.93,,-7,"Freezing Drizzle,Fog",7.041
05-01-2023 08:00,1,5,08:00,-3.2,-3.6,97,6,11,8.1,99.99,,-7,"Freezing Drizzle,Fog",7.089
05-01-2023 09:00,1,5,09:00,-3.2,-3.5,98,5,9,3.2,100.01,,-7,"Freezing Drizzle,Fog",7.713
05-01-2023 10:00,1,5,10:00,-2.8,-2.9,99,9,8,1.2,100.04,,-6,Snow,7.889
05-01-2023 11:00,1,5,11:00,-2.6,-2.8,99,7,5,3.2,100.05,,-5,Fog,7.195
05-01-2023 12:00,1,5,12:00,-2.3,-2.4,99,8,7,1.2,100.02,,-5,Fog,7.369
05-01-2023 13:00,1,5,13:00,-2,-2.1,99,8,8,1.2,99.97,,-5,Fog,7.182
05-01-2023 14:00,1,5,14:00,-2.1,-2.2,99,8,9,1,99.95,,-6,Fog,7.309
05-01-2023 15:00,1,5,15:00,-2.2,-2.3,99,8,12,1,99.97,,-6,Fog,7.459
05-01-2023 16:00,1,5,16:00,-2,-2.1,99,8,9,1,100.03,,-5,"Freezing Drizzle,Fog",7.232
05-01-2023 17:00,1,5,17:00,-1.8,-1.9,99,8,13,1.2,100.04,,-6,"Freezing Drizzle,Fog",7.577
05-01-2023 18:00,1,5,18:00,-2,-2.1,99,7,15,2.4,100.03,,-7,Fog,7.389
05-01-2023 19:00,1,5,19:00,-1.6,-1.7,100,8,11,1.6,100.07,,-5,"Freezing Drizzle,Fog",7.295
05-01-2023 20:00,1,5,20:00,-1.6,-1.6,99,9,13,2.8,100.07,,-6,Fog,7.363
05-01-2023 21:00,1,5,21:00,-1.6,-1.7,99,8,13,2.4,100.06,,-6,"Snow,Fog",7.459
05-01-2023 22:00,1,5,22:00,-1.6,-1.7,99,7,11,2.4,100.05,,-5,"Snow,Fog",7.279
05-01-2023 23:00,1,5,23:00,-1.7,-1.8,99,8,9,2.4,100.04,,-5,"Snow,Fog",7.117
06-01-2023 00:00,1,6,00:00,-1.9,-2,99,7,9,2,100.02,,-5,"Snow,Fog",7.578
06-01-2023 01:00,1,6,01:00,-2.1,-2.2,99,6,6,2,99.98,,-4,"Snow,Fog",7.345
06-01-2023 02:00,1,6,02:00,-2.1,-2.2,99,7,8,2,100,,-5,"Snow,Fog",7.258
06-01-2023 03:00,1,6,03:00,-2.2,-2.4,99,7,8,2,100,,-5,"Snow,Fog",7.222
06-01-2023 04:00,1,6,04:00,-2.5,-2.6,99,6,9,2,99.97,,-6,"Snow,Fog",7.281
06-01-2023 05:00,1,6,05:00,-2.4,-2.6,99,7,9,2,99.97,,-6,"Snow,Fog",7.126
06-01-2023 06:00,1,6,06:00,-2.4,-2.6,98,9,8,2,100.01,,-6,"Snow,Fog",7.484
06-01-2023 07:00,1,6,07:00,-2.2,-2.5,98,10,7,2.4,100.02,,-5,"Snow,Fog",7.341
06-01-2023 08:00,1,6,08:00,-2.4,-2.6,98,7,10,2.4,100.03,,-6,"Snow,Fog",7.739
06-01-2023 09:00,1,6,09:00,-2.2,-2.5,98,8,5,1.6,100.06,,-4,"Snow,Fog",7.705
06-01-2023 10:00,1,6,10:00,-1.8,-2.1,98,8,6,1.2,100.09,,-4,"Snow,Fog",7.899
06-01-2023 11:00,1,6,11:00,-1.7,-2.1,97,5,5,1.6,100.08,,-4,"Snow,Fog",7.186
06-01-2023 12:00,1,6,12:00,-1.1,-1.5,97,11,7,1.2,100.02,,-4,"Snow,Fog",7.48
06-01-2023 13:00,1,6,13:00,-0.5,-0.8,98,12,8,1.2,99.98,,-3,"Snow,Fog",7.301
06-01-2023 14:00,1,6,14:00,-0.3,-0.5,99,16,10,1,99.96,,-4,"Snow,Fog",7.196
06-01-2023 15:00,1,6,15:00,-0.1,-0.1,100,16,7,0.8,100.01,,-3,"Snow,Freezing Fog",7.183
06-01-2023 16:00,1,6,16:00,0,0,100,18,6,1.2,100.06,,-2,"Snow,Fog",7.092
06-01-2023 17:00,1,6,17:00,0.1,0.1,100,17,7,1.6,100.09,,,"Snow,Fog",7.369
06-01-2023 18:00,1,6,18:00,0.7,0.7,100,22,11,9.7,100.11,,,Fog,7.57
06-01-2023 19:00,1,6,19:00,1,0.2,94,28,21,6.4,100.18,,,"Rain,Fog",7.294
06-01-2023 20:00,1,6,20:00,-0.1,-0.8,95,27,14,2,100.26,,-4,Snow,7.302
06-01-2023 21:00,1,6,21:00,-0.4,-2.2,88,28,20,24.1,100.3,,-6,NA,7.497
